account_age_months,avg_order_value,total_orders,days_since_last_purchase,discount_usage_rate,return_rate,customer_support_tickets,loyalty_member,browsing_frequency_per_week,cart_abandonment_rate,product_review_score_avg,engagement_score,satisfaction_score,price_sensitivity_index,churned,support_level,discount_level
46,164.96,12,17,0.243,0.172,0,No,6.1,0.43,5.0,6.58,9.43,3.7,No,None,Mid
3,39.09,4,5,0.591,0.0808,1,No,4.1,0.183,4.44,6.25,8.5,6.9,No,Low,High
29,37.42,8,47,0.212,0.1424,0,No,1.2,0.426,3.87,3.32,8.4,4.3,No,None,Low
35,62.64,9,3,0.699,0.0128,0,No,3.8,0.73,4.75,6.42,9.71,7.5,No,None,Extreme
39,113.03,1,7,0.382,0.0232,0,No,5.4,0.613,5.0,6.48,9.92,5.0,No,None,Mid
18,62.28,5,13,0.565,0.0544,2,No,0.0,0.68,3.3,4.52,6.79,6.6,No,Low,High
20,25.01,6,9,0.225,0.0528,1,No,1.1,0.492,4.51,5.12,8.67,4.4,No,Low,Low
43,50.97,11,116,0.095,0.0296,1,No,5.8,0.314,3.99,2.3,8.22,3.4,Yes,Low,Low
60,164.73,31,1,0.19,0.0048,0,No,1.9,0.551,3.33,6.62,8.31,3.3,No,None,Low
58,65.91,15,4,0.341,0.0288,1,No,2.3,0.383,2.82,6.07,7.06,5.0,No,Low,Mid
23,117.67,6,7,0.109,0.0256,0,No,4.1,0.748,3.58,6.22,8.49,3.1,No,None,Low
34,60.3,1,86,0.446,0.016,2,No,4.3,0.886,3.6,2.17,7.21,5.8,Yes,Low,Mid
33,56.52,1,4,0.178,0.0456,0,Yes,6.3,0.343,4.28,6.93,9.13,3.9,No,None,Low
50,102.46,26,33,0.199,0.052,0,No,5.4,0.158,4.15,6.02,8.98,3.8,No,None,Low
48,52.29,1,46,0.195,0.0096,0,No,0.3,0.951,3.17,2.83,8.14,4.1,No,None,Low
10,48.47,1,46,0.146,0.1008,1,No,3.5,0.469,3.53,3.9,7.53,3.7,No,Low,Low
33,124.55,1,89,0.149,0.028,2,No,2.1,0.589,3.83,1.28,7.4,3.3,Yes,Low,Low
47,84.6,1,71,0.308,0.0136,0,No,2.4,0.778,3.74,2.28,8.69,4.6,Yes,None,Mid
33,77.63,17,85,0.235,0.0008,1,Yes,2.9,0.599,3.16,2.28,7.49,4.2,Yes,Low,Mid
48,98.26,25,20,0.133,0.1912,1,No,1.1,0.708,4.86,5.2,8.56,3.3,No,Low,Low
26,171.12,7,5,0.277,0.0536,2,No,4.2,0.646,4.53,6.38,8.02,3.9,No,Low,Mid
20,52.05,1,22,0.146,0.14,1,No,2.6,0.37,4.11,4.8,7.98,3.7,No,Low,Low
15,111.27,4,33,0.19,0.12,1,No,3.0,0.324,4.94,4.48,8.87,3.7,No,Low,Low
37,49.54,19,66,0.648,0.188,0,No,2.6,0.42,5.0,3.2,9.37,7.2,Yes,None,High
33,208.56,1,45,0.397,0.0632,0,No,3.9,0.5,4.49,4.08,9.28,4.5,No,None,Mid
17,74.25,1,76,0.41,0.0496,2,No,0.3,0.809,3.42,1.33,6.92,5.4,Yes,Low,Mid
5,106.94,1,94,0.405,0.0104,1,No,3.4,0.759,4.12,1.47,8.42,5.2,Yes,Low,Mid
50,81.62,26,15,0.307,0.1152,3,No,4.6,0.692,3.43,6.65,6.05,4.7,No,Medium,Mid
56,58.56,15,8,0.396,0.0296,0,Yes,4.3,0.667,4.65,6.53,9.55,5.4,No,None,Mid
4,202.1,2,8,0.13,0.032,0,No,3.1,0.493,3.16,5.7,8.05,2.7,No,None,Low
3,38.33,1,31,0.341,0.0736,0,No,6.2,0.668,3.98,5.55,8.73,5.2,No,None,Mid
21,55.92,6,23,0.1,0.124,0,No,4.8,0.633,3.5,5.65,8.09,3.4,No,None,Low
40,308.43,31,5,0.267,0.0928,0,No,1.3,0.136,4.56,6.22,9.25,3.0,No,None,Mid
